"Prugna, cruda",48
"Prugna, secca",204
"Prugne susine, crude",43
"Prugne, cotte, sgocciolate (senza zuccheri)",48
"Prugne, cotte, sgocciolate (senza zucchero)",43
"Purea di patate (con acqua e burro)",80
"Purea di patate (con latte intero e burro)",90
"Purea di patate (con latte parzialmente scremato e burro)",88
"Purea di patate (con panna e burro)",139
"Quark, alla frutta",112
"Quark, natuale, semigrasso",99
"Quark, naturale, panna",183
"Quark, naturale, magro",61
"Quiche Lorraine, in forno (pasta per torta)",295
"Quiche Lorraine, in forno (pasta sfoglia)",291
"Quinoa, cotta (senza grassi)",120
"Quinoa, cruda",368
"Rabarbaro, crudo",12
"Rafano, crudo",18
"Ragó alla bolognese",96
"Ragó d'agnello con salsa, preparato",112
"Ragó di cavallo con salsa, preparato",88
"Ragó di maiale con salsa, preparato",104
"Ragó di manzo con salsa, preparato",85
"Ragó di vitello con salsa, preparato",84
"Ratatouille, preparato",46
"Ravanelli, crudi",17
"Ribes nero, crudo",58
"Ribes rosso, crudo",45
"Ricotta",122
"Riso al latte (con latte intero, no zucchero)",143
"Riso al latte (con latte parz. scremato, no zucc.)",129
"Riso integrale, bollito (acqua salata)",126
"Riso integrale, secco",350
"Riso raffinato, bollito (acqua salata)",116
"Riso raffinato, secco",352
"Riso tipo parboiled, bollito (acqua salata)",120
"Riso tipo parboiled, secco",356
"Risotto ai funghi, cotto",128
"Risotto senza formaggio, cotto",124
"Ristretto, con cremino (non zuccherato)",47
"Riz Casimir con pollo, preparato",125
"Riz Casimir con vitello, preparato",123
"Rognone di vitello, crudo",112
"Rollmops",270
"Rosmarino, fresco",62
"Rîsti (patate pronte da arrostire)",150
"Rucola, cruda",28
"Salame",367
"Salame (linea economica)",422
"Salame affumicato",513
"Salame di campagna",532
"Salame svizzero, maiale e manzo",488
"Salametto",343
"Salatini tipo sils, secchi (bretzel, sticks)",361
"Sale da cucina con iodo",0
"Sale da cucina con iodo e fluoro",0
